Labels,X,Y
chapter,5.502450764007402,0.21535330481585946
one,5.675706268228314,0.5137630838637963
the,5.317530085512766,-4.0413733955263895
of,5.97268799740645,-0.4177870178176128
flying,5.436686015464991,-3.1031838632883364
broomstick,4.6628986861206245,-2.7474134577695364
no,5.069913916974837,2.371711145990612
spell,5.368596005198471,-2.4755736207826904
yet,5.245937765389417,0.4349931271113531
devised,-0.12464842804991073,0.7793066793684739
enables,-1.6173702676993738,-0.38302883935530196
wizards,5.856507931771238,0.18490596165402043
to,4.011397220464949,4.180861781259142
fly,4.632404106436568,1.760013115527812
in,5.324353792741455,-3.8379465030637716
human,5.136759289402158,0.31118709481021495
form.,-0.3346996712174564,0.3975552216449772
those,5.779030751222497,0.4488622346294735
few,5.932347358670514,-0.7126039013935949
animagi,-1.1452704346110645,1.9182071375444547
who,5.595288800281101,0.19066533179715767
transform,0.8932768201843759,1.4390075050004054
into,4.885556243711806,-4.531566057938388
winged,4.22699888613215,-2.1807840097395865
creatures,5.478714995250465,0.2883143770692913
may,3.3959262865085473,4.353911654054327
enjoy,3.510936983838542,0.9910856090990218
"flight,",-5.342475634556265,-0.12456491782235639
but,5.006872726174708,1.9550804122579908
they,5.920392370442824,0.2333839639695256
are,4.001145614688775,4.148760494096698
a,5.8032764203942895,-2.840381521503088
witch,5.8332167712647,-1.2972075006412274
or,4.9781641085117165,2.130590036129759
wizard,5.844609085721478,-1.0584288643463369
finds,3.4755737460926133,1.1096749293958503
him-,-2.680246266262956,0.34365090121112585
herself,5.127460226254697,-3.2815008010957443
transfigured,-1.6356817555521899,2.049587904286839
bat,2.1518050872715038,-2.9491943223250923
take,4.6030429496432985,3.4210942519875944
"air,",5.11957833547789,-4.011692828723336
"but,",1.835917557775368,0.9670753681551264
having,4.985883561219777,1.406336160941108
"brain,",-0.26494266224024005,-2.6453593544657057
sure,4.726121345713807,2.7956099341656024
forget,3.933017118024517,2.869848623303619
where,5.838954136758657,0.02488898564213795
want,4.407548595437353,3.829295105549592
go,4.537751368144762,3.631505360852566
moment,5.736023699163729,-1.8007067620821609
flight.,-4.55640959593545,0.7093534269263021
is,3.953180229686304,4.2295255949662645
our,5.081751437892141,2.5231159506614014
